,Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TransformedPrice
23,24,120,1,4224,1,2,1,3,0,0,1,11,7,6,4,6,5,7,1976,1976,0,5,10,0,3,0.0,0,2,0,1,3,3,6,840,5,0,200,1040,3,2,1,4,1060,0,0,1060,1,0,1,0,3,1,0,6,5,1,3,0,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,3,1,0,0,6,2007,2,0,129900,11.77452020265869
24,25,20,4,8246,1,2,3,3,0,0,1,24,7,6,1,6,5,8,1968,2001,0,5,14,15,3,0.0,0,1,2,3,3,0,3,188,1,668,204,1060,3,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,5,1,3,0,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,3,3,0,0,5,2010,2,0,154000,11.944707881395766
25,26,20,4,14230,1,2,1,3,0,3,1,21,7,6,1,6,8,5,2007,2007,0,5,12,12,2,640.0,3,2,0,1,3,3,5,0,5,0,1566,1566,3,4,1,4,1600,0,0,1600,0,0,2,0,3,1,3,7,5,1,1,0,2007.0,0,3,890,3,3,2,0,56,0,0,0,0,3,1,0,0,7,2009,2,0,256300,12.454103912352162
26,27,20,4,7200,1,2,1,3,0,3,1,0,7,6,1,6,5,7,1951,2000,0,5,5,5,3,0.0,0,2,2,3,3,0,0,234,3,486,180,900,3,2,1,4,900,0,0,900,0,1,1,0,3,1,3,5,5,0,2,6,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,3,1,0,0,5,2010,2,0,134800,11.811547477460344
27,28,20,4,11478,1,2,1,3,0,0,1,21,7,6,1,6,8,5,2007,2008,0,5,12,12,2,200.0,3,2,0,4,3,3,6,1218,5,0,486,1704,3,4,1,4,1704,0,0,1704,1,0,2,0,3,1,3,7,5,1,1,0,2008.0,0,3,772,3,3,2,0,50,0,0,0,0,3,1,0,0,5,2010,2,0,306000,12.631340380934517
28,29,20,4,16321,1,2,3,3,0,4,1,0,7,6,1,6,5,6,1957,1997,0,5,6,6,3,0.0,0,2,2,3,3,1,0,1277,5,0,207,1484,3,2,1,4,1600,0,0,1600,1,0,1,0,2,1,0,6,5,2,1,0,1957.0,0,1,319,3,3,2,288,258,0,0,0,0,3,1,0,0,12,2006,2,0,207500,12.24288661865289
29,30,30,1,6324,1,2,3,3,0,0,1,8,3,1,1,6,4,6,1927,1950,0,5,6,6,3,0.0,0,2,3,3,3,3,5,0,5,0,520,520,3,0,0,4,520,0,0,520,0,0,1,0,1,1,1,4,5,0,2,6,1920.0,1,1,240,0,3,2,49,0,87,0,0,0,3,1,0,0,5,2008,2,0,68500,11.134589024250317
30,31,70,2,8500,1,1,1,3,0,0,1,20,3,6,1,3,4,4,1920,1950,4,5,8,9,3,0.0,0,0,3,3,3,3,5,0,5,0,649,649,3,2,0,4,649,668,0,1317,0,0,1,0,3,1,0,6,5,0,2,6,1920.0,1,1,250,3,0,0,0,54,172,0,0,0,3,3,0,0,7,2008,2,0,40000,10.596634733096073
31,32,20,4,8544,1,2,3,3,0,4,1,24,7,6,1,6,5,6,1966,2006,0,5,2,2,3,0.0,0,2,2,3,3,3,5,0,5,0,1228,1228,3,1,1,4,1228,0,0,1228,0,0,1,1,3,1,3,6,5,0,2,0,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,3,3,0,0,6,2008,2,0,149350,11.914047823644255
32,33,20,4,11049,1,2,1,3,0,3,1,23,7,6,1,6,8,5,2007,2007,0,5,12,12,3,0.0,3,2,0,4,3,4,5,0,5,0,1234,1234,3,4,1,4,1234,0,0,1234,0,0,2,0,3,1,3,7,5,0,2,0,2007.0,0,2,484,3,3,2,0,30,0,0,0,0,3,1,0,0,1,2008,2,0,179900,12.100156419938624
33,34,20,4,10552,1,2,3,3,0,0,1,0,7,6,1,6,5,5,1959,1959,2,5,8,9,3,0.0,0,2,2,3,3,3,3,1018,5,0,380,1398,3,1,1,4,1700,0,0,1700,0,1,1,1,4,1,3,6,5,1,1,0,1959.0,0,2,447,3,3,2,0,38,0,0,0,0,3,1,0,0,4,2010,2,0,165500,12.016726473799254
34,35,120,4,7313,1,2,1,3,0,0,1,21,7,6,4,6,9,5,2005,2005,2,5,6,6,0,246.0,2,2,0,4,3,3,6,1153,5,0,408,1561,3,4,1,4,1561,0,0,1561,1,0,2,0,2,1,2,6,5,1,1,0,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,3,1,0,0,8,2007,2,0,277500,12.533576212168626
35,36,60,4,13418,1,2,1,3,0,0,1,21,7,6,1,3,8,5,2004,2005,0,5,12,12,2,132.0,3,2,0,4,3,4,5,0,5,0,1117,1117,3,4,1,4,1132,1320,0,2452,0,0,3,1,4,1,3,9,5,1,1,4,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,3,1,0,0,9,2006,2,0,309000,12.641096555879882
36,37,20,4,10859,1,2,1,3,0,3,1,23,7,6,1,6,5,5,1994,1995,0,5,12,12,3,0.0,0,2,0,1,3,3,5,0,5,0,1097,1097,3,4,1,4,1097,0,0,1097,0,0,1,1,3,1,0,6,5,0,2,0,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,3,1,0,0,6,2009,2,0,145000,11.884489021402711
37,38,20,4,8532,1,2,1,3,0,0,1,0,7,6,1,6,5,6,1954,1990,2,5,5,5,0,650.0,0,2,2,3,3,3,3,1213,5,0,84,1297,3,1,1,4,1297,0,0,1297,0,1,1,0,3,1,0,5,5,1,3,0,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,3,1,0,0,10,2009,2,0,153000,11.938193200374572
38,39,20,4,7922,1,2,1,3,0,0,1,0,7,6,1,6,5,7,1953,2007,0,5,12,12,3,0.0,0,1,2,3,3,3,6,731,5,0,326,1057,3,2,1,4,1057,0,0,1057,1,0,1,0,3,1,3,5,5,0,2,6,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,3,1,0,0,1,2010,2,3,109000,11.59910316121128
39,40,90,4,6040,1,2,1,3,0,0,1,14,7,6,3,6,4,5,1955,1955,0,5,3,15,3,0.0,0,2,0,2,2,2,2,0,2,0,0,0,3,2,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,5,0,2,2,1980.0,2,0,0,2,2,0,0,0,0,0,0,0,3,1,0,0,6,2008,2,1,82000,11.314474526246391
40,41,20,4,8658,1,2,1,3,0,0,1,0,7,6,1,6,6,5,1965,1965,0,5,5,5,0,101.0,0,2,2,3,3,3,3,643,5,0,445,1088,3,4,1,4,1324,0,0,1324,0,0,2,0,3,1,0,6,5,1,3,0,1965.0,0,2,440,3,3,2,0,138,0,0,0,0,3,0,0,0,12,2006,2,3,160000,11.982929094215963
41,42,20,4,16905,1,2,1,3,0,0,1,6,7,6,1,6,5,6,1959,1959,0,5,12,12,3,0.0,0,1,2,3,3,1,0,967,5,0,383,1350,3,1,1,4,1328,0,0,1328,0,1,1,1,2,1,0,5,5,2,1,0,1959.0,0,1,308,3,3,1,0,104,0,0,0,0,3,1,0,0,7,2007,2,0,170000,12.043553716032399
42,43,85,4,9180,1,2,3,3,0,4,1,2,7,6,1,0,5,7,1983,1983,0,5,2,2,3,0.0,0,2,2,1,3,4,1,747,4,93,0,840,3,1,1,4,884,0,0,884,1,0,1,0,2,1,3,5,5,0,2,0,1983.0,0,2,504,3,1,2,240,0,0,0,0,0,3,3,0,0,12,2007,2,0,144000,11.877568578558138
43,44,20,4,9200,1,2,3,3,0,4,1,23,7,6,1,6,5,6,1975,1980,2,5,12,12,3,0.0,0,2,2,1,3,4,4,280,0,491,167,938,3,2,1,4,938,0,0,938,1,0,1,0,3,1,0,5,5,0,2,6,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,3,3,0,0,7,2008,2,0,130250,11.777210959615614
44,45,20,4,7945,1,2,1,3,0,0,1,0,7,6,1,6,5,6,1959,1959,0,5,8,5,3,0.0,0,2,2,3,3,3,1,179,0,506,465,1150,3,4,1,3,1150,0,0,1150,1,0,1,0,3,1,0,6,5,0,2,0,1959.0,0,1,300,3,3,2,0,0,0,0,0,0,3,1,0,0,5,2006,2,0,141000,11.856515169360305
45,46,120,4,7658,1,2,1,3,0,0,1,21,7,6,4,6,9,5,2005,2005,2,5,6,6,0,412.0,2,2,0,4,3,3,6,456,5,0,1296,1752,3,4,1,4,1752,0,0,1752,1,0,2,0,2,1,2,6,5,1,1,0,2005.0,0,2,576,3,3,2,196,82,0,0,0,0,3,1,0,0,2,2010,2,0,319900,12.675763725937609
46,47,50,4,12822,1,2,3,3,0,4,1,9,7,6,1,4,7,5,2003,2003,0,5,12,12,3,0.0,3,2,0,4,3,3,6,1351,5,0,83,1434,3,4,1,4,1518,631,0,2149,1,0,1,1,1,1,3,6,5,1,5,0,2003.0,0,2,670,3,3,2,168,43,0,0,198,0,3,1,0,0,8,2009,2,3,239686,12.387085012375499
47,48,20,3,11096,1,2,1,3,0,0,1,12,7,6,1,6,8,5,2006,2006,0,5,12,12,3,0.0,3,2,0,1,3,4,6,24,5,0,1632,1656,3,4,1,4,1656,0,0,1656,0,0,2,0,3,1,3,7,5,0,2,0,2006.0,0,3,826,3,3,2,0,146,0,0,0,0,3,1,0,0,7,2007,2,0,249700,12.428015476267865
48,49,190,1,4456,1,2,1,3,0,0,1,17,7,6,0,3,4,5,1920,2008,0,5,6,6,3,0.0,0,2,3,3,3,3,5,0,5,0,736,736,3,1,1,4,736,716,0,1452,0,0,2,0,2,3,0,8,5,0,2,2,1980.0,2,0,0,2,2,0,0,0,102,0,0,0,3,1,0,0,6,2009,5,2,113000,11.635143097694478
49,50,20,4,7742,1,2,1,3,0,0,1,24,7,6,1,6,5,7,1966,1966,0,5,2,2,3,0.0,0,2,2,3,3,3,0,763,5,0,192,955,3,4,1,4,955,0,0,955,1,0,1,0,3,1,0,6,5,0,2,0,1966.0,1,1,386,3,3,2,0,0,0,0,0,0,3,3,0,0,1,2007,2,0,127000,11.751942365440728
50,51,60,4,13869,1,2,2,3,0,3,1,19,7,6,1,3,6,6,1997,1997,0,5,12,12,3,0.0,0,2,0,1,3,4,6,182,5,0,612,794,3,1,1,4,794,676,0,1470,0,1,2,0,3,1,0,6,5,0,2,0,1997.0,3,2,388,3,3,2,0,75,0,0,0,0,3,1,0,0,7,2007,2,0,177000,12.083905011555967
51,52,50,1,6240,1,2,1,3,0,0,1,8,7,6,1,4,6,6,1934,1950,0,5,5,5,3,0.0,0,2,0,3,3,3,5,0,5,0,816,816,3,2,1,4,816,0,360,1176,0,0,1,0,3,1,0,6,5,1,1,6,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,3,3,2,400,9,2006,2,0,114500,11.648330101976432
52,53,90,1,8472,0,2,2,2,0,3,2,20,1,6,3,6,5,5,1963,1963,0,5,5,5,3,0.0,1,2,2,1,3,1,4,104,6,712,0,816,3,2,0,4,816,0,0,816,1,0,1,0,2,1,0,5,5,0,2,3,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,3,1,0,0,5,2010,2,0,110000,11.608235644774552
53,54,20,4,50271,1,2,3,1,0,0,1,4,7,6,1,6,9,5,1981,1987,0,6,11,11,3,0.0,3,2,2,4,3,1,6,1810,5,0,32,1842,3,1,1,4,1842,0,0,1842,2,0,0,1,0,1,3,5,5,1,1,0,1981.0,3,3,894,3,3,2,857,72,0,0,0,0,3,1,0,0,11,2006,2,0,385000,12.86099861326992
54,55,80,4,7134,1,2,1,2,0,0,2,0,7,6,1,7,5,5,1955,1955,0,5,6,6,3,0.0,0,2,2,3,3,3,1,384,5,0,0,384,3,2,1,4,1360,0,0,1360,0,0,1,0,3,1,0,6,1,1,3,6,1962.0,1,2,572,3,3,2,0,50,0,0,0,0,3,3,0,0,2,2007,2,0,130000,11.77528972943772
55,56,20,4,10175,1,2,3,3,0,0,1,0,7,6,1,6,6,5,1964,1964,0,5,2,15,0,272.0,0,2,2,3,3,3,0,490,5,0,935,1425,3,1,1,4,1425,0,0,1425,0,0,2,0,3,1,0,7,5,1,1,0,1964.0,0,2,576,3,3,2,0,0,0,407,0,0,3,1,0,0,7,2008,2,0,180500,12.103486056755072
56,57,160,3,2645,1,1,1,3,0,0,1,12,7,6,2,3,8,5,1999,2000,0,5,6,6,0,456.0,3,2,0,1,3,3,6,649,5,0,321,970,3,4,1,4,983,756,0,1739,1,0,2,1,3,1,3,7,5,0,2,0,1999.0,3,2,480,3,3,2,115,0,0,0,0,0,3,1,0,0,8,2009,2,3,172500,12.058152515453552
57,58,60,4,11645,1,2,3,3,0,3,1,23,7,6,1,3,7,5,2004,2004,0,5,12,12,3,0.0,3,2,0,1,3,3,5,0,5,0,860,860,3,4,1,4,860,860,0,1720,0,0,2,1,3,1,3,7,5,0,2,0,2004.0,0,2,565,3,3,2,0,70,0,0,0,0,3,1,0,0,8,2006,2,0,196500,12.188417710291453
58,59,60,4,13682,1,2,2,0,0,4,1,1,7,6,1,3,10,5,2006,2006,2,5,12,12,0,1031.0,2,2,0,4,3,1,5,0,5,0,1410,1410,3,4,1,4,1426,1519,0,2945,0,0,3,1,3,1,3,10,5,1,1,4,2006.0,3,3,641,3,3,2,192,0,37,0,0,0,3,1,0,0,10,2006,5,2,438780,12.991753427493052
59,60,20,4,7200,1,2,1,2,0,0,1,23,7,6,1,6,5,7,1972,1972,0,5,2,2,3,0.0,0,2,2,3,3,4,1,632,5,0,148,780,3,4,1,4,780,0,0,780,0,0,1,0,2,1,0,4,5,0,2,6,1973.0,1,1,352,3,3,2,196,0,0,0,0,0,3,3,0,0,1,2008,2,0,124900,11.73526869611367
60,61,20,4,13072,1,2,1,3,0,0,1,2,0,6,1,6,6,5,2004,2004,0,5,12,12,3,0.0,0,2,0,1,3,3,1,941,5,0,217,1158,3,4,1,4,1158,0,0,1158,1,0,1,1,3,1,3,5,5,0,2,6,2006.0,1,2,576,3,3,2,0,50,0,0,0,0,3,1,0,0,5,2006,5,2,158000,11.970350312009105
61,62,75,1,7200,1,2,1,3,0,0,1,20,7,6,1,2,5,7,1920,1996,0,5,6,6,3,0.0,0,2,3,3,0,3,5,0,5,0,530,530,3,2,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,5,0,2,6,1935.0,1,1,288,3,3,0,0,0,144,0,0,0,3,1,0,0,3,2007,2,0,101000,11.522875795823397
62,63,120,4,6442,1,2,3,3,0,0,1,21,7,6,4,6,8,5,2006,2006,0,5,12,12,2,178.0,3,2,0,1,1,0,6,24,5,0,1346,1370,3,4,1,4,1370,0,0,1370,0,0,2,0,2,1,3,6,5,1,1,0,2006.0,0,2,484,3,3,2,120,49,0,0,0,0,3,1,0,0,10,2007,2,0,202500,12.218495165528731
63,64,70,1,10300,1,2,3,2,0,0,1,17,6,2,1,3,7,6,1921,1950,0,5,0,1,3,0.0,0,2,3,3,3,3,5,0,5,0,576,576,3,1,1,4,902,808,0,1710,0,0,2,0,3,1,0,9,5,0,2,6,1990.0,1,2,480,3,3,2,12,11,64,0,0,0,3,4,0,0,4,2010,2,0,140000,11.84939770159144
64,65,60,4,9375,1,2,1,3,0,0,1,23,7,6,1,3,7,5,1997,1998,0,5,12,12,0,573.0,0,2,0,1,3,3,6,739,5,0,318,1057,3,4,1,4,1057,977,0,2034,1,0,2,1,3,1,3,8,5,0,2,0,1998.0,0,2,645,3,3,2,576,36,0,0,0,0,3,4,0,0,2,2009,2,0,219500,12.299107511497363
65,66,60,4,9591,1,2,1,3,0,0,1,21,7,6,1,3,8,5,2004,2005,0,5,12,12,0,344.0,3,2,0,4,3,4,5,0,5,0,1143,1143,3,4,1,4,1143,1330,0,2473,0,0,2,1,4,1,3,9,5,1,1,4,2004.0,0,3,852,3,3,2,192,151,0,0,0,0,3,1,0,0,10,2007,2,0,317000,12.666657052859417
66,67,20,4,19900,1,2,1,3,0,0,1,0,4,6,1,6,7,5,1970,1989,0,5,14,15,0,287.0,0,2,2,1,3,1,6,912,5,0,1035,1947,3,2,1,4,2207,0,0,2207,1,0,2,0,3,1,0,7,1,1,1,0,1970.0,0,2,576,3,3,2,301,0,0,0,0,0,3,1,0,0,7,2010,2,0,180000,12.100712129872347
67,68,20,4,10665,1,2,3,3,0,0,1,23,7,6,1,6,7,5,2003,2003,0,5,12,12,0,167.0,3,2,0,1,3,4,6,1013,5,0,440,1453,3,4,1,4,1479,0,0,1479,1,0,2,0,3,1,3,7,5,0,2,0,2003.0,0,2,558,3,3,2,144,29,0,0,0,0,3,1,0,0,6,2007,2,0,226000,12.328290278254423
68,69,30,1,4608,1,2,1,3,0,3,1,17,2,6,1,6,4,6,1945,1950,0,5,6,6,3,0.0,0,1,2,3,3,3,5,0,5,0,747,747,3,2,1,4,747,0,0,747,0,0,1,0,2,1,0,4,5,0,2,0,1945.0,1,1,220,3,3,2,0,0,0,0,0,0,3,1,0,0,6,2010,2,0,80000,11.289781913656018
69,70,50,4,15593,1,2,1,3,0,3,1,10,7,6,1,4,7,4,1953,1953,0,5,8,3,3,0.0,3,2,2,3,3,3,0,603,5,0,701,1304,5,2,1,4,1304,983,0,2287,0,0,2,0,3,1,0,7,5,1,3,0,1953.0,3,2,667,3,3,2,0,21,114,0,0,0,3,1,0,0,7,2006,2,0,225000,12.323855681186558
